Employee_ID,Hours_Worked,Tasks_Completed,Salary
1,26,14,106044
2,39,18,117214
3,48,8,83827
4,34,18,105820
5,30,19,112623
6,27,19,72299
7,48,12,93585
8,40,18,114044
9,26,11,92557
10,45,16,99080
11,38,13,52693
12,42,18,119163
13,30,12,75939
14,30,9,98925
15,43,17,92941
16,40,6,71834
17,23,19,68047
18,27,9,76105
19,43,12,65707
20,22,14,71976
21,41,13,94262
22,40,16,73776
23,21,16,80080
24,43,16,116842
25,31,17,111373
26,49,13,56776
27,25,17,105016
28,21,19,59474
29,47,17,108053
30,40,5,71959
31,20,13,55530
32,31,11,53748
33,45,13,63545
34,41,12,116199
35,48,5,84766
36,31,16,111087
37,44,12,118840
38,36,12,104384
39,46,19,101005
40,46,15,96576
41,29,7,89353
42,47,5,112003
43,47,12,102733
44,35,7,115318
45,34,7,73664
46,49,5,117172
47,49,15,76736
48,34,9,50854
49,49,14,88623
50,38,11,57392
51,31,14,105680
52,42,13,96717
53,39,16,100859
54,44,11,76309
55,22,13,113734
56,24,12,102662
57,38,16,62688
58,26,6,75342
59,40,5,87157
60,28,11,117863
61,26,11,102083
62,37,18,115733
63,23,12,84698
64,44,9,72671
65,47,7,75184
66,33,16,92107
67,37,12,101663
68,45,10,65708
69,28,15,99811
70,45,7,52811
71,40,5,106250
72,21,7,84754
73,39,9,61411
74,47,19,52911
75,34,18,117270
76,47,7,58680
77,26,5,61111
78,31,9,87504
79,48,14,51802
80,27,11,58155
81,34,19,89384
82,22,18,97254
83,33,11,71918
84,36,15,110713
85,23,13,80306
86,37,19,66646
87,27,19,96843
88,23,14,66371
89,21,14,52049
90,49,16,81616
91,25,17,70932
92,41,7,79855
93,29,19,111434
94,23,11,93016
95,41,5,57400
96,48,8,92642
97,37,17,65151
98,45,8,101407
99,31,18,116690
100,21,9,54499
